State,total,Firearms,"Knives or 
cutting 
instruments","Other 
weapons","Personal 
weapons","Agency 
count",Population
Alabama,14986,3619,1216,9169,982,203,3625366
Alaska,4377,935,763,1411,1268,32,733747
Arizona,20471,5353,2885,4645,7588,92,6572138
Arkansas,11150,3817,1414,2316,3603,237,2593420
California,105343,17907,16934,36486,34016,736,39549496
Colorado,13035,3947,2624,3120,3344,186,5028003
Connecticut,4294,690,1030,1505,1069,106,3572665
Delaware,2837,856,630,1060,291,52,964106
District of Columbia,3971,936,1109,1490,436,3,702455
Florida,55504,16799,10389,19619,8697,671,21279120
Georgia,17481,6268,2387,4550,4276,447,8454996
Hawaii,1545,133,397,639,376,2,1148121
Idaho,2681,524,484,801,872,79,1587760
Illinois,1525,676,155,276,418,1,146198
Indiana,13761,3567,1379,3875,4940,214,4430415
Iowa,,,,,,,
Kansas,7512,2749,1120,1856,1787,212,2159192
Kentucky,2039,372,382,972,313,331,3382683
Louisiana,16901,5200,2447,5229,4025,179,4364269
Maine,801,72,132,250,347,134,1338404
Maryland,16135,2914,3468,6160,3593,154,6042718
Massachusetts,16265,1692,3453,7395,3725,338,6667870
Michigan,30849,9051,5768,9935,6095,611,9865692
Minnesota,6762,1635,1281,1795,2051,378,5570925
Mississippi,2173,969,286,453,465,51,1086688
Missouri,20677,8285,2254,5100,5038,498,5720610
Montana,2613,448,309,916,940,99,995183
Nebraska,3368,749,662,1167,790,216,1822672
Nevada,9976,2971,1922,2905,2178,47,3022875
New Hampshire,1417,296,288,362,471,184,1317257
New Jersey,10463,1729,2064,3349,3321,576,8908520
New Mexico,11324,2681,1602,2711,4330,102,1760050
New York,42538,4155,11007,13262,14114,516,18332434
North Carolina,16339,7813,2285,3270,2971,211,5943830
North Dakota,1284,44,166,494,580,103,757131
Ohio,16456,6328,3208,4668,2252,425,9409029
Oklahoma,13054,3175,2068,4164,3647,405,3911076
Oregon,6814,940,1306,2487,2081,196,3792813
Pennsylvania,23576,4664,3300,4849,10763,1442,12629530
Rhode Island,1366,257,350,457,302,48,1057315
South Carolina,16129,7091,2525,3862,2651,375,4474961
South Dakota,1737,206,390,443,698,114,816012
Tennessee,31086,11102,5317,12444,2223,448,6548896
Texas,66682,21746,13769,20373,10794,910,26050117
Utah,3810,655,835,1154,1166,114,2705615
Vermont,703,77,103,96,427,72,615720
Virginia,10040,3105,1653,2659,2623,394,8434883
Washington,13394,2687,2206,4482,4019,209,6980830
West Virginia,2493,607,309,608,969,135,1099657
Wisconsin,11185,2858,1099,2558,4670,423,5747929
Wyoming,773,87,123,150,413,54,507616
