State,totalAggrevatedAssault,totalrobberies,totalMurders,robberyFirearms,robberyKnives,roberyOtherWeapons,murderHandguns,murderRfiles,murderShotgun,murderKnives
Alabama,14986,3311,2,2145,111,324,2,0,0,0
Alaska,4377,896,47,242,99,127,7,3,0,8
Arizona,20471,6331,339,2530,774,734,139,12,6,45
Arkansas,11150,1457,218,724,110,144,66,6,5,17
California,105343,54311,1739,13503,5031,6535,834,24,27,252
Colorado,13035,3483,207,1530,306,432,99,2,8,27
Connecticut,4294,2194,83,651,277,230,10,2,0,18
Delaware,2837,866,48,349,59,73,14,1,2,4
District of Columbia,3971,2415,151,964,217,159,120,0,0,20
Florida,55504,16874,568,6685,1168,1622,410,11,10,44
Georgia,17481,6766,33,3873,251,589,6,1,0,10
Hawaii,1545,857,32,115,90,158,14,2,2,4
Idaho,2681,186,864,49,21,30,592,14,4,77
Illinois,1525,346,371,167,30,31,136,10,7,33
Indiana,13761,5192,43,2562,273,457,6,2,2,8
Iowa,,,110,,,,47,0,2,7
Kansas,7512,1181,237,563,91,119,112,12,6,17
Kentucky,2039,1195,521,459,120,150,233,12,5,30
Louisiana,16901,4462,23,2311,217,355,6,0,1,2
Maine,801,228,470,58,30,25,345,1,10,39
Maryland,16135,9716,136,4572,855,836,37,0,1,25
Massachusetts,16265,4011,550,965,697,827,166,17,11,31
Michigan,30849,5627,104,2496,321,510,36,4,0,16
Minnesota,6762,2940,142,979,219,627,99,3,2,7
Mississippi,2173,978,555,635,50,62,235,16,9,40
Missouri,20677,5061,34,2812,260,387,9,3,0,2
Montana,2613,223,43,52,30,36,22,0,1,5
Nebraska,3368,732,201,349,59,56,46,1,1,23
Nevada,9976,3832,21,1616,354,429,6,0,0,3
New Hampshire,1417,333,286,47,54,43,152,0,2,37
New Jersey,10463,6364,137,1955,602,413,39,3,0,23
New Mexico,11324,2530,546,1160,309,353,254,6,10,124
New York,42538,18020,479,3293,2182,1743,231,15,16,44
North Carolina,16339,5367,16,2925,402,426,8,0,0,1
North Dakota,1284,158,546,40,21,20,184,3,7,49
Ohio,16456,8386,202,2662,360,667,95,7,3,28
Oklahoma,13054,2790,81,1298,260,227,30,3,1,12
Oregon,6814,2405,787,482,300,382,464,17,7,83
Pennsylvania,23576,9742,16,3816,740,604,1,1,1,2
Rhode Island,1366,454,386,124,79,39,188,8,6,29
South Carolina,16129,3154,13,1809,183,260,5,0,0,4
South Dakota,1737,207,496,41,29,25,245,26,8,28
Tennessee,31086,7151,1301,3992,383,1095,522,33,37,128
Texas,66682,25841,59,13690,1842,2294,17,1,0,12
Utah,3810,1064,10,289,121,122,3,0,0,0
Vermont,703,69,391,22,13,9,141,8,5,30
Virginia,10040,3594,232,1831,287,321,76,2,5,45
Washington,13394,5356,57,1314,539,727,21,1,1,5
West Virginia,2493,164,178,42,24,31,67,4,2,15
Wisconsin,11185,3474,12,1689,197,387,6,0,2,2
Wyoming,773,44,,13,2,6,,,,
